# Network Traffic Log for Exercise 2
# Format: timestamp,source_ip,destination_ip,bytes,protocol
# Generated sample data for probabilistic data structure analysis
1705320000,192.168.1.15,10.0.0.1,1500,TCP
1705320001,10.45.23.78,10.0.0.1,2048,TCP
1705320001,192.168.1.15,10.0.0.1,512,UDP
1705320002,172.16.45.100,10.0.0.2,4096,TCP
1705320002,10.45.23.78,10.0.0.1,1024,TCP
1705320003,192.168.1.15,10.0.0.1,768,TCP
1705320003,10.100.50.25,10.0.0.3,2048,UDP
1705320004,192.168.1.15,10.0.0.1,1500,TCP
1705320004,10.45.23.78,10.0.0.2,3072,TCP
1705320005,172.16.45.100,10.0.0.1,512,UDP
1705320005,192.168.1.15,10.0.0.1,1024,TCP
1705320006,10.200.75.50,10.0.0.4,8192,TCP
1705320006,10.45.23.78,10.0.0.1,1500,TCP
1705320007,192.168.1.15,10.0.0.1,2048,TCP
1705320007,172.16.45.100,10.0.0.2,1024,TCP
1705320008,10.45.23.78,10.0.0.1,512,UDP
1705320008,10.100.50.25,10.0.0.3,4096,TCP
1705320009,192.168.1.15,10.0.0.1,768,TCP
1705320009,10.200.75.50,10.0.0.4,1500,TCP
1705320010,172.16.45.100,10.0.0.1,2048,TCP
1705320010,10.45.23.78,10.0.0.2,1024,UDP
1705320011,192.168.1.15,10.0.0.1,3072,TCP
1705320011,10.150.30.75,10.0.0.5,512,TCP
1705320012,10.45.23.78,10.0.0.1,1500,TCP
1705320012,172.16.45.100,10.0.0.2,4096,TCP
1705320013,192.168.1.15,10.0.0.1,1024,TCP
1705320013,10.100.50.25,10.0.0.3,768,UDP
1705320014,10.200.75.50,10.0.0.4,2048,TCP
1705320014,10.45.23.78,10.0.0.1,1500,TCP
1705320015,192.168.1.15,10.0.0.1,512,TCP
1705320015,172.16.45.100,10.0.0.1,1024,TCP
1705320016,10.150.30.75,10.0.0.5,3072,TCP
1705320016,10.45.23.78,10.0.0.2,2048,UDP
1705320017,192.168.1.15,10.0.0.1,1500,TCP
1705320017,10.100.50.25,10.0.0.3,4096,TCP
1705320018,172.16.45.100,10.0.0.2,512,TCP
1705320018,10.200.75.50,10.0.0.4,1024,TCP
1705320019,10.45.23.78,10.0.0.1,768,TCP
1705320019,192.168.1.15,10.0.0.1,2048,TCP
1705320020,10.150.30.75,10.0.0.5,1500,UDP
1705320020,172.16.45.100,10.0.0.1,3072,TCP
1705320021,10.45.23.78,10.0.0.1,1024,TCP
1705320021,192.168.1.15,10.0.0.1,512,TCP
1705320022,10.100.50.25,10.0.0.3,4096,TCP
1705320022,10.200.75.50,10.0.0.4,1500,TCP
1705320023,172.16.45.100,10.0.0.2,2048,TCP
1705320023,10.45.23.78,10.0.0.2,768,UDP
1705320024,192.168.1.15,10.0.0.1,1024,TCP
1705320024,10.150.30.75,10.0.0.5,512,TCP
1705320025,10.45.23.78,10.0.0.1,3072,TCP
1705320025,172.16.45.100,10.0.0.1,1500,TCP
1705320026,10.100.50.25,10.0.0.3,2048,TCP
1705320026,192.168.1.15,10.0.0.1,4096,TCP
1705320027,10.200.75.50,10.0.0.4,1024,UDP
1705320027,10.45.23.78,10.0.0.1,768,TCP
1705320028,172.16.45.100,10.0.0.2,512,TCP
1705320028,10.150.30.75,10.0.0.5,1500,TCP
1705320029,192.168.1.15,10.0.0.1,2048,TCP
1705320029,10.45.23.78,10.0.0.2,3072,TCP
1705320030,10.100.50.25,10.0.0.3,1024,TCP
1705320030,172.16.45.100,10.0.0.1,4096,TCP
1705320031,10.200.75.50,10.0.0.4,768,TCP
1705320031,192.168.1.15,10.0.0.1,512,UDP
1705320032,10.45.23.78,10.0.0.1,1500,TCP
1705320032,10.150.30.75,10.0.0.5,2048,TCP
1705320033,172.16.45.100,10.0.0.2,1024,TCP
1705320033,192.168.1.15,10.0.0.1,3072,TCP
1705320034,10.100.50.25,10.0.0.3,512,TCP
1705320034,10.45.23.78,10.0.0.1,4096,TCP
1705320035,10.200.75.50,10.0.0.4,1500,TCP
